L,a,b
52.7304,90.2444,-65.594
26.5547,43.2392,38.8222
76.685,-71.808,74.5407
27.2971,54.6493,-27.1302
54.8205,-50.1332,26.4551
59.5618,-53.1791,61.008
13.1475,30.4112,20.4642
89.2143,-57.5598,85.7391
78.9587,-41.3043,77.9376
53.3903,81.4646,26.0491
32.0172,-5.0712,-28.595
20.99,-30.154,26.4228
81.9727,-3.0141,82.8523
46.1052,84.1696,-73.2497
49.4026,-49.1125,32.2958
26.0007,67.7121,-90.3501
59.5826,-44.2906,61.4459
21.9667,32.4787,32.5139
71.6104,11.5472,75.1355
50.5729,85.3525,-50.9005
52.5635,91.3219,-72.6222
58.347,9.4676,63.7351
49.3361,47.93,59.7385
13.6387,40.0758,-59.1113
66.6678,-22.5557,68.6136
3.9437,0.715,5.9199
61.0467,-45.0622,7.9117
53.4927,83.2917,-1.7592
47.8365,83.7679,-60.6316
26.5035,66.6771,-92.4427
47.5647,23.9324,-70.8415
84.7117,-65.5415,81.561
62.108,-49.1464,14.9543
38.9526,46.5483,-85.5233
45.8812,-22.4164,-16.2095
84.4338,-47.7882,-8.9379
41.5039,-0.9169,-40.2541
68.9906,-62.2374,68.5115
65.2676,-57.3156,65.6093
29.5525,72.5989,-100.0133
11.1217,11.975,-31.9575
31.0204,54.6836,31.6777
68.5318,-6.8615,71.193
74.0411,-73.6391,72.2482
21.6067,47.156,-21.2298
2.2253,14.1554,-24.6514
32.7842,57.0062,24.6478
47.2089,13.0795,54.5843
50.1505,76.8736,46.6768
25.0805,45.0376,-72.9585
32.4019,74.8558,-94.0268
29.2481,66.6048,-75.993
87.1283,-85.5298,81.9281
39.2821,67.2398,-12.7298
47.0808,-45.672,26.2662
36.5422,-33.6718,42.5757
13.1657,-16.3706,19.0605
7.2525,28.2525,-6.3851
23.4127,52.6609,-42.6275
18.9851,56.3892,-75.2199
3.5849,14.7975,5.6413
21.5012,59.8788,-78.8904
84.0941,-76.3228,80.5528
19.8776,51.7689,-56.2221
12.981,36.0,-13.6371
23.8463,54.9314,-51.4493
40.378,65.5754,37.6607
20.1877,59.0248,-79.904
28.0856,70.8921,-97.3121
88.2043,-76.1301,45.2793
65.2676,-57.3156,65.6093
44.4494,71.5757,11.2533
85.8955,-76.0711,48.9767
66.6661,-63.7816,66.4946
44.8339,-50.3694,47.9067
84.7014,-70.4378,35.4561
31.8961,78.1104,-105.7222
28.4331,71.2083,-97.8796
83.056,-62.267,80.3244
69.484,-64.1045,68.8423
53.2651,80.4861,49.1395
60.5266,10.3216,65.6481
3.4715,15.5023,-30.9111
65.6347,-31.3569,-18.7958
62.3314,-42.8216,2.4949
26.1117,48.885,31.8034
47.8887,70.2682,61.4584
4.9895,27.3124,-30.5396
29.5982,-31.5423,15.1789
19.2366,56.0273,-77.2563
54.5923,-52.8959,34.5143
86.5038,-42.8318,84.2257
35.4216,-23.9291,42.1207
18.3284,40.4332,10.2105
68.8393,-69.5445,63.43
2.8223,4.9779,4.3187
39.3704,-7.9091,-30.4884
77.2363,-70.0441,75.0799
47.8372,86.21,-73.7586
66.5626,-3.6057,69.7463
67.9747,-64.8367,67.5452
63.6006,-65.2825,59.6633
56.8835,-60.4322,57.8295
33.4743,10.8705,42.7752
61.4193,-59.163,62.2991
30.3668,73.6443,-96.3229
33.2145,-30.8879,39.9103
65.7478,-20.7559,-33.5462
71.1365,-39.7443,-10.5089
29.1217,29.0014,40.354
49.8954,0.8133,55.9265
32.0867,-1.4901,-32.8345
45.3804,85.684,-84.0869
61.5123,1.4009,65.8178
17.7714,-8.146,25.3146
81.8931,-76.2081,57.0964
17.9464,40.8952,-3.438
41.9373,70.3629,-12.2218
38.9936,-37.7004,17.476
90.1141,-10.6276,89.2343
47.8303,2.1453,-48.2463
80.7382,4.5462,82.3462
114.0358,-33.6643,25.4118
12.018,38.7876,-56.6383
74.002,-73.6927,66.9027
24.3507,63.8531,-83.0821
54.5197,76.4001,67.6661
80.0894,-8.4658,80.882
51.8611,81.4471,-3.1348
65.3285,-30.8729,-19.261
60.6725,-8.8129,-44.8039
5.177,28.1214,-31.6866
30.3904,35.4342,42.2083
86.8513,-68.6389,28.2858
36.5692,14.1623,45.6678
5.082,25.7544,-22.2189
33.411,60.9654,-19.6995
51.322,58.1356,62.598
50.8352,-54.618,53.6298
27.9986,71.8619,-98.0325
20.4087,45.4692,-19.1089
10.651,39.0189,-55.6509
34.3855,-41.5483,38.8394
73.5948,11.9327,76.8469
9.1863,-15.0541,5.2794
67.9684,-23.6684,69.6478
15.2826,-6.9229,-14.1591
69.2891,-45.9107,69.5399
41.8504,-35.9528,10.1466
57.8393,-18.7505,61.3702
32.3991,13.7787,-49.4832
68.7562,-32.1404,-20.1219
17.5722,54.6863,-73.9133
15.4296,49.2307,-63.0991
45.4413,-6.7135,51.6304
40.1446,81.2547,-88.9407
85.2687,-84.0102,80.5665
83.0731,-56.8754,80.601
40.5151,-2.5657,47.7355
19.2467,-20.2259,2.8814
73.5636,-62.2106,30.4445
82.6202,-63.5202,22.0067
76.5103,-76.3349,71.5555
44.0927,71.5922,4.3929
31.2164,15.2572,41.2003
34.4173,61.6441,-14.8543
50.4992,72.9126,63.936
40.3137,67.7089,-4.1077
71.8005,-14.9149,73.4337
47.3606,75.1648,9.4887
63.8519,-62.0732,46.2613
68.5224,12.8641,72.6212
33.8354,31.1329,-67.4204
